,id,title,vote_average,vote_count,year,soup
0,862,toy story,7.7,5415.0,1995,jealousi toy boy friendship friend rivalri boynextdoor newtoy toycomestolif tomhanks timallen donrickles johnlasseter johnlasseter johnlasseter Animation Comedy Family
1,8844,jumanji,6.9,2413.0,1995,boardgam disappear basedonchildren'sbook newhom reclus giantinsect robinwilliams jonathanhyde kirstendunst joejohnston joejohnston joejohnston Adventure Fantasy Family
2,15602,grumpier old men,6.5,92.0,1995,fish bestfriend duringcreditssting waltermatthau jacklemmon ann-margret howarddeutch howarddeutch howarddeutch Romance Comedy
3,31357,waiting to exhale,6.1,34.0,1995,basedonnovel interracialrelationship singlemoth divorc chickflick whitneyhouston angelabassett lorettadevine forestwhitaker forestwhitaker forestwhitaker Comedy Drama Romance
4,11862,father of the bride part ii,5.7,173.0,1995,babi midlifecrisi confid age daughter motherdaughterrelationship pregnanc contracept gynecologist stevemartin dianekeaton martinshort charlesshyer charlesshyer charlesshyer Comedy
5,949,heat,7.7,1886.0,1995,robberi detect bank obsess chase shoot thief honor murder suspens heist betray money gang catandmous criminalmastermind cultfilm ex-con heistmovi onelastjob loner neo-noir gunfight crimeep alpacino robertdeniro valkilmer michaelmann michaelmann michaelmann Action Crime Drama Thriller
6,11860,sabrina,6.2,141.0,1995,pari brotherbrotherrelationship chauffeur longisland millionair harrisonford juliaormond gregkinnear sydneypollack sydneypollack sydneypollack Comedy Romance
7,45325,tom and huck,5.4,45.0,1995,jonathantaylorthomas bradrenfro rachaelleighcook peterhewitt peterhewitt peterhewitt Action Adventure Drama Family
8,9091,sudden death,5.5,174.0,1995,terrorist hostag explos vicepresid jean-claudevandamme powersboothe dorianharewood peterhyams peterhyams peterhyams Action Adventure Thriller
9,710,goldeneye,6.6,1194.0,1995,cuba falselyaccus secretident computervirus secretbas secretintelligenceservic kgb satellit specialcar cossack timebomb st.petersburgrussia ejectionseat redarmi piercebrosnan seanbean izabellascorupco martincampbell martincampbell martincampbell Adventure Action Thriller
10,9087,the american president,6.5,199.0,1995,whitehous usapresid newlov widow michaeldouglas annettebening michaelj.fox robreiner robreiner robreiner Comedy Drama Romance
11,12110,dracula: dead and loving it,5.7,210.0,1995,dracula spoof leslienielsen melbrooks amyyasbeck melbrooks melbrooks melbrooks Comedy Horror
12,21032,balto,7.1,423.0,1995,wolf alaska dog goos bearattack kevinbacon bobhoskins bridgetfonda simonwells simonwells simonwells Family Animation Adventure
13,10858,nixon,7.1,72.0,1995,usapresid presidentialelect watergatescand biographi govern historicalfigur anthonyhopkins joanallen powersboothe oliverstone oliverstone oliverstone History Drama
14,1408,cutthroat island,5.7,137.0,1995,exoticisland treasur map ship scalp pirat geenadavis matthewmodine franklangella rennyharlin rennyharlin rennyharlin Action Adventure
15,524,casino,7.8,1343.0,1995,poker drugabus 1970s overdos illegalprostitut robertdeniro sharonstone joepesci martinscorsese martinscorsese martinscorsese Drama Crime
16,4584,sense and sensibility,7.2,364.0,1995,bowl basedonnovel servant countrylif janeausten inherit militaryoffic perioddrama rainstorm horseandcarriag katewinslet emmathompson hughgrant anglee anglee anglee Drama Romance
17,5,four rooms,6.5,539.0,1995,hotel newyear'sev witch bet hotelroom sperm losangel hoodlum womandirector episodefilm timroth antoniobanderas jenniferbeals allisonanders allisonanders allisonanders Crime Comedy
18,9273,ace ventura: when nature calls,6.1,1128.0,1995,africa indigen humananimalrelationship bat jimcarrey ianmcneice simoncallow steveoedekerk steveoedekerk steveoedekerk Crime Comedy Adventure
19,11517,money train,5.4,224.0,1995,brotherbrotherrelationship subway newyorkc newyorksubway trainrobberi wesleysnipes woodyharrelson jenniferlopez josephruben josephruben josephruben Action Comedy Crime
20,8012,get shorty,6.4,305.0,1995,gambl miami basedonnovel job murder travel mafia money debt mobster busi hollywood gangster crime violenc drug produc con johntravolta genehackman renerusso barrysonnenfeld barrysonnenfeld barrysonnenfeld Comedy Thriller Crime
21,1710,copycat,6.5,199.0,1995,policebrut psycholog policeoper policeprotect serialkil psychologist cowardli sigourneyweaver hollyhunter willpatton jonamiel jonamiel jonamiel Drama Thriller
